movie_name,movie_rate,genre1,genre2,genre3,genre4,genre5,genre6
1917,8.5,Drama,War,,,,
2012,8,Sci-Fi,,,,,
21座桥 / 21 Bridges,6.5,Action,Mystery,Crime,,,
365：逆转命运的1年 / 365:운명을 거스르는 1년,8.9,Mystery,Thriller,Fantasy,,,
82年生的金智英 / 82년생 김지영,8.6,Drama,,,,,
9号秘事 第二季 / Inside No. 9 Season 2,8.6,Comedy,Mystery,,,,
9号秘事 第六季 / Inside No. 9 Season 6,9.1,Comedy,Mystery,Thriller,,,
9号秘事 第七季 / Inside No. 9 Season 7,9,Drama,Comedy,Mystery,Thriller,Horror,Crime
9号秘事 第三季 / Inside No. 9 Season 3,9.3,Comedy,Mystery,Horror,,,
9号秘事 第四季 / Inside No. 9 Season 4,9.4,Comedy,Mystery,Thriller,,,
9号秘事 第五季 / Inside No. 9 Season 5,8.2,Comedy,Mystery,Thriller,,,
9号秘事 第一季 / Inside No. 9 Season 1,9.1,Comedy,Mystery,Horror,,,
X战警2 / X2,7.7,Action,Sci-Fi,Thriller,,,
X战警3：背水一战 / X-Men: The Last Stand,7.7,Action,Sci-Fi,Thriller,,,
X战警 / X-Men,7.8,Action,Sci-Fi,,,,
X战警：第一战 / X-Men: First Class,8.2,Drama,Action,Sci-Fi,,,
X战警：黑凤凰 / Dark Phoenix,5.7,Action,Sci-Fi,Adventure,,,
X战警：逆转未来 / X-Men: Days of Future Past,8.2,Drama,Action,Sci-Fi,Adventure,,
X战警：天启 / X-Men: Apocalypse,7.7,Action,Sci-Fi,Fantasy,Adventure,,
,,,,,
,,,,,
阿凡达 / Avatar,8.8,Action,Sci-Fi,Adventure,,,
阿甘正传 / Forrest Gump,9.5,Drama,Romance,,,,
阿拉丁 / Aladdin,7.4,Romance,Music,Fantasy,Adventure,,
爱很美味,8.1,Drama,Comedy,Romance,,,
爱乐之城 / La La Land,8.4,Drama,Romance,Music,,,
爱情神话,8.1,Drama,Comedy,Romance,,,
"爱，死亡和机器人 第二季 / Love, Death & Robots Season 2",6.8,Comedy,Sci-Fi,Animation,Horror,Short,Fantasy
"爱，死亡和机器人 第一季 / Love, Death & Robots Season 1",9.2,Comedy,Sci-Fi,Animation,Horror,Fantasy,
安多 第一季 / Andor Season 1,9.1,Drama,Action,Sci-Fi,Thriller,Adventure,
白色巨塔 / 白い巨塔,9.7,Drama,,,,,
白蛇：缘起,7.8,Romance,Animation,Fantasy,,,
白夜追凶,8.9,Drama,Mystery,Crime,,,
百万美元宝贝 / Million Dollar Baby,8.7,Drama,,,,,
半个喜剧,7.3,Comedy,Romance,,,,
暴裂无声,8.2,Drama,Mystery,Crime,,,
爆裂鼓手 / Whiplash,8.7,Drama,Music,,,,
悲惨世界 / Les Misérables,8.7,Drama,Romance,Music,,,
被嫌弃的松子的一生 / 嫌われ松子の一生,8.9,Drama,Music,,,,
本杰明·巴顿奇事 / The Curious Case of Benjamin Button,9,Drama,Romance,Fantasy,,,
蝙蝠侠：黑暗骑士 / The Dark Knight,9.2,Drama,Action,Sci-Fi,Thriller,Crime,
蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises,8.8,Drama,Action,Sci-Fi,Thriller,Crime,
蝙蝠侠：侠影之谜 / Batman Begins,8.6,Drama,Action,Sci-Fi,Thriller,Crime,
辩护人 / 변호인,9.2,Drama,,,,,
冰川时代 / Ice Age,8.6,Comedy,Animation,Adventure,,,
冰雪奇缘2 / Frozen II,7,Comedy,Animation,Music,Adventure,,
波斯语课 / Persischstunden,8.1,Drama,,,,,
波西米亚狂想曲 / Bohemian Rhapsody,8.6,Drama,,Music,Biography,,
伯德小姐 / Lady Bird,7.9,Drama,Family,,,,
搏击俱乐部 / Fight Club,9,Drama,Action,Mystery,Thriller,,
布达佩斯大饭店 / The Grand Budapest Hotel,8.9,Drama,Comedy,Adventure,,,
彩排 第一季 / The Rehearsal Season 1,8.8,Comedy,Documentary,,,,
超感猎杀 第二季 / Sense8 Season 2,9.2,Drama,Sci-Fi,Mystery,Thriller,,
超感猎杀 第一季 / Sense8 Season 1,8.9,Drama,Sci-Fi,,,,
超感猎杀：圣诞特别篇 / Sense8: A Christmas Special,8.7,Drama,Sci-Fi,,,,
超感猎杀：完结特别篇 / Sense8 Finale Special,9.2,Drama,Sci-Fi,,,,
超脱 / Detachment,9,Drama,,,,,
沉默的真相,9,Drama,Mystery,Crime,,,
沉睡魔咒2 / Maleficent: Mistress of Evil,5.9,Fantasy,Adventure,,,,
,,,,,
,,,,,
沉睡魔咒 / Maleficent,7.4,Fantasy,Adventure,,,,
乘风破浪,6.8,Drama,Comedy,,,,
丑闻笔记 / Notes on a Scandal,7.9,Drama,Thriller,,,,
出·路,7.7,Documentary,,,,,
楚门的世界 / The Truman Show,9.4,Drama,Sci-Fi,,,,
穿条纹睡衣的男孩 / The Boy in the Striped Pajamas,9.2,Drama,War,,,,
传染病 / Contagion,7.1,Drama,Sci-Fi,Thriller,,,
刺杀小说家,6.5,Action,Fantasy,Adventure,,,
刺猬的优雅 / Le hérisson,8.8,Drama,,,,,
达拉斯买家俱乐部 / Dallas Buyers Club,8.8,Drama,,Biography,,,
大佛普拉斯,8.7,Drama,Comedy,,,,
大护法,7.8,Comedy,Animation,Fantasy,Adventure,,
大象席地而坐,8.1,Drama,,,,,
大小谎言 第二季 / Big Little Lies Season 2,8.8,Drama,Mystery,Crime,,,
大小谎言 第一季 / Big Little Lies Season 1,9,Drama,Mystery,Crime,,,
大鱼 / Big Fish,8.8,Drama,Family,Fantasy,Adventure,,
大鱼海棠,7,Drama,Animation,Fantasy,,,
大侦探皮卡丘 / Pokémon Detective Pikachu,6.4,Comedy,Animation,Fantasy,Adventure,,
当幸福来敲门 / The Pursuit of Happyness,9.2,Drama,Family,Biography,,,
盗梦空间 / Inception,9.4,Drama,Sci-Fi,Mystery,Adventure,,
低俗小说 / Pulp Fiction,8.9,Drama,Comedy,Crime,,,
调音师 / Andhadhun,8.2,Comedy,Mystery,Thriller,Crime,,
碟中谍6：全面瓦解 / Mission: Impossible - Fallout,8.1,Action,Thriller,Adventure,,,
东城梦魇 / Mare of Easttown,8.8,Drama,Mystery,Crime,,,
动物世界,7.2,Drama,Action,Adventure,,,
毒液：致命守护者 / Venom,7.2,Action,Sci-Fi,Thriller,,,
独行月球,6.6,Comedy,Sci-Fi,,,,
对手,7.8,Drama,Mystery,,,,
二十二,8.7,Documentary,,,,,
反叛的鲁路修 / コードギアス 反逆のルルーシュ,9.1,Sci-Fi,Animation,,,,
反贪风暴4 / P風暴,5.9,Action,Crime,,,,
放牛班的春天 / Les choristes,9.3,Drama,Music,,,,
非自然死亡 / アンナチュラル,9.5,Drama,Mystery,,,,
飞驰人生,6.9,Comedy,,,,,
飞行家 / The Aviator,8.1,Drama,Biography,,,,
飞屋环游记 / Up,9.1,Drama,Comedy,Animation,Adventure,,
飞鹰艾迪 / Eddie the Eagle,8.1,Drama,Comedy,Biography,,,
疯狂动物城 / Zootopia,9.2,Comedy,Animation,Adventure,,,
,,,,,
,,,,,
疯狂原始人 / The Croods,8.7,Comedy,Animation,Adventure,,,
风筝,8.8,Drama,Mystery,,,,
风中有朵雨做的云,7.2,Drama,Mystery,Crime,,,
釜山行 / 부산행,8.6,Action,Thriller,,,,
复仇者联盟2：奥创纪元 / Avengers: Age of Ultron,7.5,Action,Sci-Fi,Fantasy,Adventure,,
复仇者联盟3：无限战争 / Avengers: Infinity War,8.1,Action,Sci-Fi,Fantasy,Adventure,,
复仇者联盟4：终局之战 / Avengers: Endgame,8.1,Action,Sci-Fi,Fantasy,Adventure,,
复仇者联盟 / The Avengers,8.3,Action,Sci-Fi,Fantasy,Adventure,,
复印店 / Copy Shop,8.2,Drama,Short,,,,
感谢上帝 / Grâce à Dieu,7.6,Drama,,,,,
钢琴家 / The Pianist,9.3,Drama,Music,Biography,War,,
钢铁侠2 / Iron Man 2,7.7,Action,Sci-Fi,Adventure,,,
钢铁侠3 / Iron Man 3,7.9,Action,Sci-Fi,,,,
钢铁侠 / Iron Man,8.4,Action,Sci-Fi,Thriller,Adventure,,
高考,9.1,Documentary,,,,,
告白,8.8,Drama,Mystery,,,,
攻壳机动队 第一季 / 攻殻機動隊 STAND ALONE COMPLEX,9.6,Action,Sci-Fi,Animation,Thriller,Crime,
狗十三,8.2,Drama,Family,,,,
狗镇 / Dogville,8.4,Drama,Mystery,Thriller,,,
孤单又灿烂的神：鬼怪 / 쓸쓸하고 찬란하神 - 도깨비,8.9,Drama,,,,,
滚蛋吧！肿瘤君,7.4,Comedy,Romance,,,,
国王的演讲 / The King's Speech,8.4,Drama,Biography,History,,,
过春天,7.7,Drama,,,,,
哈尔的移动城堡 / ハウルの動く城,9.1,Animation,Fantasy,Adventure,,,
哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban,8.9,Fantasy,Adventure,,,,
哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix,8.5,Fantasy,Adventure,,,,
哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince,8.3,Fantasy,Adventure,,,,
哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire,8.8,Mystery,Fantasy,Adventure,,,
哈利·波特与密室 / Harry Potter and the Chamber of Secrets,8.8,Fantasy,Adventure,,,,
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone,9.2,Fantasy,Adventure,,,,
哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1,8.5,Fantasy,Adventure,,,,
哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2,9,Fantasy,Adventure,,,,
海边的曼彻斯特 / Manchester by the Sea,8.6,Drama,Family,,,,
海上钢琴师 / La leggenda del pianista sull'oceano,9.3,Drama,Music,,,,
海市蜃楼 / Durante la tormenta,7.6,Sci-Fi,Mystery,Thriller,,,
海王 / Aquaman,7.6,Action,Fantasy,Adventure,,,
汉娜 / Hanna,6.2,Action,Mystery,Thriller,Adventure,,
何以为家 / كفرناحوم,9.1,Drama,,,,,
,,,,,
,,,,,
黑暗荣耀 / 더 글로리,8.9,Drama,,,,,
黑暗荣耀 第二季 / 더 글로리2,9.1,Drama,Mystery,,,,
黑豹 / Black Panther,6.5,Action,Sci-Fi,Adventure,,,
黑镜 第二季 / Black Mirror Season 2,9.2,Drama,Sci-Fi,Thriller,,,
黑镜 第三季 / Black Mirror Season 3,9,Drama,Sci-Fi,Thriller,,,
黑镜 第四季 / Black Mirror Season 4,8.4,Drama,Sci-Fi,Thriller,,,
黑镜 第五季 / Black Mirror Season 5,6.9,Drama,Sci-Fi,Thriller,,,
黑镜 第一季 / Black Mirror Season 1,9.4,Drama,Sci-Fi,Thriller,,,
黑镜：圣诞特别篇 / Black Mirror: White Christmas,9.1,Drama,Sci-Fi,Thriller,,,
黑客帝国 / The Matrix,9.1,Action,Sci-Fi,,,,
黑天鹅 / Black Swan,8.6,Drama,Thriller,,,,
后天 / The Day After Tomorrow,8.3,Sci-Fi,,,,,
花束般的恋爱 / 花束みたいな恋をした,8.6,Drama,Romance,,,,
灰姑娘 / Cinderella,7,Romance,Fantasy,Adventure,,,
婚姻故事 / Marriage Story,8.6,Drama,Romance,,,,
活埋 / Buried,7.9,Drama,Mystery,Thriller,,,
火星救援 / The Martian,8.5,Drama,Sci-Fi,Adventure,,,
霍比特人1：意外之旅 / The Hobbit: An Unexpected Journey,8.4,Action,Fantasy,Adventure,,,
霍比特人2：史矛革之战 / The Hobbit: The Desolation of Smaug,8.5,Action,Fantasy,Adventure,,,
霍比特人3：五军之战 / The Hobbit: The Battle of the Five Armies,8.6,Action,Fantasy,Adventure,,,
机器人总动员 / WALL·E,9.3,Sci-Fi,Animation,Adventure,,,
饥饿站台 / El hoyo,7.9,Sci-Fi,Thriller,,,,
疾走天堂 / Heaven,7.7,Drama,Romance,Crime,,,
寄生虫 / 기생충,8.8,Drama,,,,,
记忆碎片 / Memento,8.7,Drama,Mystery,Thriller,Crime,,
加勒比海盗2：聚魂棺 / Pirates of the Caribbean: Dead Man's Chest,8.4,Action,Fantasy,Adventure,,,
加勒比海盗3：世界的尽头 / Pirates of the Caribbean: At World's End,8.3,Action,Fantasy,Adventure,,,
加勒比海盗4：惊涛怪浪 / Pirates of the Caribbean: On Stranger Tides,7.8,Action,Fantasy,Adventure,,,
加勒比海盗5：死无对证 / Pirates of the Caribbean: Dead Men Tell No Tales,7.2,Action,Fantasy,Adventure,,,
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl,8.8,Action,Fantasy,Adventure,,,
嘉年华,8.2,Drama,,,,,
检察方的罪人 / 検察側の罪人,6.8,Drama,Mystery,Crime,,,
江照黎明,6,Mystery,,,,,
降临 / Arrival,7.8,Drama,Sci-Fi,,,,
借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ,8.9,Animation,Fantasy,Adventure,,,
金刚狼2 / The Wolverine,6.7,Action,Sci-Fi,,,,
金刚狼3：殊死一战 / Logan,8.3,Drama,Action,Sci-Fi,,,
金刚狼 / X-Men Origins: Wolverine,7.6,Action,Sci-Fi,,,,
,,,,,
,,,,,
禁闭岛 / Shutter Island,8.9,Drama,Mystery,Thriller,,,
惊魂眼 / The Gift,6.7,Drama,Mystery,Thriller,Crime,,
惊奇队长 / Captain Marvel,6.8,Action,Sci-Fi,Adventure,,,
囧妈,5.9,Comedy,,,,,
菊次郎的夏天 / 菊次郎の夏,8.9,Drama,Comedy,,,,
卡罗尔 / Carol,8.4,Drama,Romance,,,,
开端,7.9,Drama,,,,,
看不见的客人 / Contratiempo,8.8,Drama,Mystery,Thriller,Crime,,
狂飙,8.5,Drama,Crime,,,,
窥探 / 마우스,8.7,Drama,Mystery,Crime,,,
困在时间里的父亲 / The Father,8.6,Drama,,,,,
来自星星的你 / 별에서 온 그대,8.5,Romance,,,,,
蓝色茉莉 / Blue Jasmine,8,Drama,Family,,,,
琅琊榜,9.4,Drama,History,,,,
浪潮 / Die Welle,8.7,Drama,Thriller,,,,
老友记 第一季 / Friends Season 1,9.7,Comedy,Romance,,,,
了不起的盖茨比 / The Great Gatsby,8,Drama,Romance,,,,
雷神2：黑暗世界 / Thor: The Dark World,7.4,Action,Fantasy,Adventure,,,
雷神3：诸神黄昏 / Thor: Ragnarok,7.4,Action,Fantasy,Adventure,,,
雷神 / Thor,7.1,Action,Fantasy,Adventure,,,
冷山 / Cold Mountain,8.2,Drama,Romance,War,,,
离亲叛众 / The Outcast,8.7,Drama,,,,,
理查德·朱维尔的哀歌 / Richard Jewell,8.2,Drama,Biography,Crime,,,
利刃出鞘 / Knives Out,8.1,Drama,Comedy,Mystery,Crime,,
良医 第二季 / The Good Doctor Season 2,9.1,Drama,,,,,
良医 第一季 / The Good Doctor Season 1,9.2,Drama,,,,,
猎鹰与冬兵 / The Falcon and the Winter Soldier,7.4,Drama,Action,Sci-Fi,Adventure,,
裂缝 / Cracks,8,Drama,Thriller,,,,
流感 / 감기,7.8,Drama,Action,Adventure,,,
流浪地球,7.9,Sci-Fi,Adventure,,,,
龙猫 / となりのトトロ,9.2,Animation,Fantasy,Adventure,,,
龙虾 / The Lobster,7.6,Drama,Comedy,Fantasy,,,
伦敦生活 第二季 / Fleabag Season 2,9.5,Comedy,,,,,
伦敦生活 第一季 / Fleabag Season 1,8.8,Drama,Comedy,,,,
罗小黑战记,8,Action,Animation,Fantasy,,,
骡子 / The Mule,7.9,Drama,Crime,,,,
洛基 第一季 / Loki Season 1,8.5,Action,Sci-Fi,Fantasy,Adventure,,
驴得水,8.3,Drama,Comedy,,,,
,,,,,
,,,,,
绿皮书 / Green Book,8.9,Drama,Comedy,Music,Biography,,
马戏之王 / The Greatest Showman,7.7,Drama,Music,Biography,,,
曼达洛人 第二季 / The Mandalorian Season 2,9.4,Action,Sci-Fi,Adventure,,,
曼达洛人 第三季 / The Mandalorian Season 3,9,Action,Sci-Fi,Fantasy,Adventure,,
曼达洛人 第一季 / The Mandalorian Season 1,9.2,Sci-Fi,Fantasy,,,,
漫长的季节,9.4,Drama,Family,Crime,,,
猫鼠游戏 / Catch Me If You Can,9.1,Drama,Biography,Crime,,,
梅尔罗斯 / Patrick Melrose,9,Drama,,,,,
